id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99
250010,0.258398,12,0.36873,-0.0355984,-25.7161,1.46317,15.6159,-0.738176,108.046,1.04697,-7.63826,-1.56073,156.585,2.2993,1.58132,1.20036,8733716,-0.0925607,-0.773421,-0.862699,0.21625,6.66005,896.384,3.23418,-0.825263,7.65228,129.495,1034,2.68433,8.33763,1.19825,6.79103,-1.02807,-0.129972,143.957,130.959,6.26388,-3.50361,5.03847,0.859341,2.36415,2.17807,0.156713,0.244349,268.44,73.3776,4.57273,4.99825,-0.73661,108.49,2.32919,1.10191,-26807.1,93.0632,1.08218,1399,4666.63,1.79265,89.4883,1.60385,2.44E+09,36.6837,2.79444,0.145571,1.14615,0.0668865,0.223726,1.0016,11.3014,-2.31889,63.2621,-0.0312484,55.5984,2.53247,2.51049,357.392,-1.16057,-1.08014,5.24041,1.195,1.05251,0.00743452,-0.476757,-0.15231,5.21504,4.38081,9,0.627475,9.01248,1.16524,0.440529,-141.189,5.3684,2.11623,-0.297637,15.4465,2.6236,0.117621,2.37369,3.9281
250011,0.974047,10,0.450964,-0.811401,6268.92,24.4694,51.8356,0.825278,75.6679,1.15131,-0.46461,-0.446881,122.795,7.81455,-1.33241,0.236585,908428,0.00153189,-0.732219,-0.298688,-0.0108148,2.97644,4843.44,2.98756,0.842615,2.998,156.192,3877,5.32874,16.6117,1.09992,7.56674,0.806287,5.63157,128.571,694.872,8.53856,-0.596981,1.04402,0.879224,-2.08228,-0.659963,0.26269,0.0895577,15.6708,204.038,2.2792,1.82141,-1.02947,72.5943,2.78046,0.976987,11768.3,95.226,0.0503036,811,8531.28,1.13902,53.2111,2.16808,9.01E+08,18.0443,5.26513,0.266649,1.15718,0.405154,0.220463,-0.948945,-4.10453,1.54894,86.0074,-0.0549007,69.376,2.42048,3.74291,-32.7785,-0.686623,-1.14449,5.90905,1.17654,1.41017,-0.00189304,-0.242327,1.08,4.07568,5.45885,82,-0.434794,5.49663,-0.239853,0.267478,-53.3869,51.4262,1.6333,-0.0780906,9.53986,0.886361,0.380161,1.19148,7.7157
250012,0.144094,12,-0.767533,0.780546,3767.75,13.935,45.2868,1.26467,34.5632,1.10019,-0.463997,-1.26198,121.021,3.90041,1.68835,0.294999,1418316,0.00629045,-0.493564,-0.303798,0.931273,6.91127,927.5,8.60819,0.00649966,4.89968,122.791,12944,0.854248,5.07689,1.18294,6.80527,-0.0141763,4.6835,127.77,399.733,2.09607,-0.592705,3.01523,-0.493171,-4.86303,2.54752,0.0888051,0.475041,138,64.0517,6.66141,6.03157,-1.11004,51.4001,3.63555,0.972045,-159.144,74.1935,-0.260362,796,89.39,1.62472,96.1146,-0.0385849,3.62E+09,46.7559,4.66892,0.2717,1.33475,0.095799,0.249067,1.09265,2.42113,-0.438367,37.6605,-0.0241766,26.4988,2.64106,1.92426,161.086,-1.17844,1.48299,6.36139,1.23565,3.45209,0.00996051,-0.574023,0.283639,2.40182,4.39458,59,0.257412,3.98538,0.801741,0.393821,15563.9,36.7357,1.39188,-0.250632,7.71202,4.58066,0.14923,1.43404,9.44443
250013,0.302338,16,-0.239241,0.00646148,961.725,5.09183,169.14,0.466074,71.3636,1.14886,-0.0152114,-0.63199,160.898,9.4384,1.71132,0.236155,21278201,0.0272255,1.74118,-0.307267,0.0861259,6.70566,1926.88,2.59187,-0.191952,9.39686,150.525,80530,-0.462653,4.52803,1.1642,13.2743,-0.910748,1.34034,128.216,4.38327,7.1233,1.0902,1.07489,0.598676,2.6248,2.37548,0.218679,0.449498,57.7897,66.1569,7.16496,3.16526,-0.715167,86.36,3.16435,1.57495,72536.2,96.3217,2.13536,1125,11424.4,3.91427,69.0142,0.104928,6.06E+09,98.3572,4.74724,0.307183,1.14762,0.521943,0.294474,1.67501,-4.05592,1.97423,87.5231,-0.0181018,76.3744,1.65226,2.32231,-6284.34,0.694686,1.49004,5.45273,1.15303,1.41087,-0.00254189,-0.424135,0.640548,6.9023,3.48743,390,-0.28026,6.94367,-0.154636,0.595255,15619.5,20.9411,1.34775,0.237599,7.70183,3.64387,0.245364,0.996493,1.58174
250014,0.824332,3,-0.421033,0.450654,158.247,9.39394,19.5246,0.921732,48.2003,1.17294,4.37253,-0.670273,122.896,5.27564,0.423703,0.291418,15258446,0.109054,0.750586,0.901353,0.0352263,10.5739,2922.17,4.84203,-1.038,3.30807,132.711,74220,-0.00121472,4.70289,1.13132,5.96266,1.53905,2.70276,133.218,28.4385,2.11383,-0.543765,-0.519859,0.986601,1.97716,2.40384,0.285678,0.517779,30.0648,41.5219,10.8848,9.44688,1.18657,48.7545,1.39296,2.0129,-94.259,49.0424,0.804949,809,9.69355,2.19798,74.137,0.55691,4.66E+09,116.315,4.49247,0.247044,1.53098,0.211303,0.164711,2.04676,8.5729,-0.86989,61.7116,0.0784312,38.6789,2.43114,0.0712317,-45.8085,1.39883,13.0523,3.50882,1.14888,1.1981,0.0060038,-0.666343,-0.10006,4.15408,4.58701,112,2.0974,2.40168,8.48857,0.418177,-264.886,-2.45365,1.49944,0.330174,27.8077,1.58112,0.255727,1.22177,19.3029
250015,0.703348,43,-0.570424,1.24412,4952.61,8.95827,21.6504,1.23479,59.672,1.09832,-4.41465,1.00099,153.859,4.84393,1.17951,0.302261,5506500,-0.00760318,-1.32266,-0.512837,0.385997,10.8759,-123.933,4.27239,-0.822844,6.44859,131.602,15828,0.859459,6.13963,1.65176,6.4241,-0.460632,0.76226,124.055,108.044,7.97166,1.6461,-4.07093,-0.844538,-2.07019,1.42946,0.0919454,0.436794,77.1128,391.5,7.09934,8.36573,1.52296,37.7914,1.63933,1.70445,102.448,96.9147,1.3046,682,3251.53,1.77574,114.361,-0.331824,4.92E+09,56.6701,3.75928,0.242537,1.18088,0.58223,0.24458,2.0787,1.96464,1.33287,60.0841,0.0697623,131.836,2.48095,3.06423,1318.49,-1.37621,2.4516,4.3295,1.15217,2.32887,0.00256331,-0.395479,-0.232781,4.044,3.73353,-9,0.265856,2.69337,17.2209,1.58918,52.6231,15.9015,4.03436,0.429638,8.66938,2.10462,0.522855,0.984435,18.4584
250016,-0.0296749,20,-1.03829,-0.86979,1600.12,11.3485,-0.381433,1.50817,17.337,1.18209,-0.569815,1.07896,155.603,1.55016,1.27836,0.891807,12981667,0.0279112,-0.622929,-0.281939,0.597722,12.6516,876.631,8.87317,0.0108909,5.28068,131.04,83702,35.0703,9.75419,1.15478,5.77945,-0.00351484,1.16464,141.662,28.0066,3.73944,-9.88672,1.86818,0.887645,1.34002,3.08719,0.290917,0.300953,199.761,162.169,7.36445,16.0821,-0.236622,53.2143,2.78693,0.798787,1564.62,86.4258,-0.214112,1774,3356.83,3.42662,37.1873,-0.0512582,5.41E+09,78.3852,5.30231,0.232154,1.33062,0.0405505,0.123688,0.896737,-5.71396,-2.69667,62.6709,0.113508,42.8158,3.38187,3.22853,-103.758,-1.1117,-2.78005,6.6317,1.14047,1.50879,0.0239557,-0.145525,0.0850465,5.11508,3.59559,28,-0.682655,6.16432,35.5878,0.223081,1985.27,28.9016,1.46583,-0.656163,-9.59524,3.03613,0.582954,2.31241,3.45525
250017,0.634806,38,0.979968,1.27601,-5.48273,2.19504,246.679,-0.859357,49.1188,1.14487,-3.70634,-0.178171,144.3,7.43782,2.07108,3.17815,26175339,0.00424289,-0.392771,0.83601,0.861577,5.79135,7247.61,3.02175,-0.850377,20.3899,137.785,72048,-0.626235,4.35274,1.38089,7.68407,-0.950965,0.385193,109.811,72.0892,13.5904,1.26695,-0.803455,0.687783,-1.23518,3.00949,0.126155,0.459376,46.3625,-0.30509,4.75583,0.651916,-0.98153,121.994,1.36154,1.7505,35885.6,71.7912,0.157662,958,12.88,1.11332,71.1661,1.3751,1.64E+09,6.32263,3.65344,0.278883,1.16181,0.589676,0.0695559,1.20029,5.51124,1.59735,140.604,0.0547546,61.7629,2.36033,2.33276,3672.5,1.39341,3.41719,6.086,1.08751,1.53445,0.0105711,-0.650671,-0.779332,3.45119,5.57153,404,0.267964,7.41061,-0.448918,1.6718,1386.22,36.809,1.31756,0.385155,-4.94414,2.19057,0.705521,1.2371,10.037
250018,0.719054,58,0.800899,0.783831,1098.77,5.38942,12.3218,-1.53156,65.3344,1.31815,1.50697,-1.19206,129.169,2.38664,1.65389,0.417723,1229098,0.0335159,-0.513527,-0.887834,0.0830695,11.0384,13985,12.9237,-1.37913,3.70476,116.904,78534,-1.25212,7.16048,1.1752,7.49518,-0.435049,2.05758,142.854,128.638,2.8615,0.768933,3.06623,-0.208094,6.25211,2.7422,-0.00152994,0.453271,146.221,190.864,8.73329,6.69486,-0.823887,250.981,1.28545,0.352076,14499.5,88.8101,0.335008,-8,-221.355,1.54151,76.2811,-0.637581,4.93E+09,32.784,13.1258,0.166257,1.14525,0.727745,0.147545,-0.74891,0.609878,-0.0435256,59.1102,-0.205425,68.3226,1.77744,-0.0228468,404.809,-1.16581,5.11541,6.65957,1.1397,1.30416,0.00842531,-0.435408,0.140902,3.43706,5.23141,19,-0.157767,10.4123,0.088598,0.0813352,21642.5,23.6693,0.982831,-0.426536,10.3013,2.24802,0.468023,1.69511,9.63756
250019,0.518804,12,-0.977435,0.836622,3337.1,14.7716,13.5007,0.552187,-161.031,1.23567,-3.34292,1.1655,129.63,5.20428,1.10539,0.198874,362020,-0.0361424,0.549758,0.477289,0.386181,5.25794,2000.34,8.80652,-1.13365,4.14807,127.538,82446,-0.559644,8.8285,1.11773,8.11216,-0.870006,3.52605,143.971,473.967,11.8012,-0.35948,1.23923,0.973,-1.61344,7.33328,0.126229,0.552906,37.0676,235.496,6.14209,6.20248,0.891408,28.6113,2.52265,0.851861,-6357.99,73.1593,0.543737,35,2005.94,1.0413,85.894,-0.174629,3.35E+09,92.2713,3.63209,0.249491,1.04361,0.452923,0.222209,1.01652,1.00164,1.53525,119.525,0.06775,81.0097,2.34558,2.01464,134.807,-1.19087,-2.1985,8.77918,1.16666,2.9746,0.0112629,-0.279797,1.0844,2.17479,4.60169,107,0.0101906,9.99638,7.95392,0.279507,4814.14,47.9195,1.44165,0.107638,-3.87848,2.68904,0.230785,1.24878,3.27892
250020,0.0357822,46,-0.0766066,-0.339864,942.078,11.8212,250.961,-0.326605,-37.0627,1.38771,-0.0601474,-0.847159,126.085,14.9013,1.32831,0.421521,5730402,0.0586253,-0.501851,-0.456104,0.0334777,7.02258,4815.74,5.22245,0.190197,6.54479,120.128,12232,2.92586,2.29377,1.12762,3.05471,-0.981294,1.9447,164.458,216.685,1.7172,-0.928235,1.18916,1.0691,10.7165,1.52819,0.195919,0.419555,49.9295,1.32807,1.43293,4.83748,-1.19342,25.7082,1.3782,1.63998,21498.9,43.5224,0.11141,535,-121.178,1.80615,89.5984,1.1283,4.44E+09,54.7081,10.5742,0.227949,1.16127,0.608379,0.201762,0.958527,4.49097,1.44624,107.609,-0.0440779,88.0075,0.74542,0.757223,-12.8237,0.0576874,1.99126,7.99498,1.16426,3.44727,-0.00275419,-0.0975609,-0.0991854,7.05366,4.50844,83,2.5588,10.0668,1.20122,0.284809,11.0037,6.32047,1.41193,-1.03976,8.09364,1.46214,0.96503,0.901141,16.3427
250021,-0.0102541,216,0.655152,1.08506,-173.802,10.8133,91.4386,1.01709,-16.291,1.07349,-7.22054,-0.574553,150.014,14.6749,-1.66829,1.16071,8554546,0.0912889,0.584596,0.253458,0.0113956,12.912,-1403.24,4.91809,0.158011,1.23423,126.485,1990,0.747353,4.30206,1.06778,5.75984,-0.984466,-0.106989,150.342,87.5554,2.67019,-2.60861,1.52779,0.78003,-3.13953,2.86026,0.0747206,0.459172,56.1459,96.9536,4.96974,3.90674,1.08821,246.293,1.40062,0.889832,-193.612,104.037,1.11592,13,123.924,1.48964,78.0152,-0.107238,1.78E+09,47.899,3.71595,-0.0107055,0.98163,0.0643387,0.346435,0.986813,2.23323,1.17003,36.2404,0.0152826,57.258,2.50287,4.53447,-116.628,1.02546,2.13869,7.66939,1.04355,1.33063,-0.00123595,-0.762482,1.49842,3.28631,4.14487,531,1.30786,10.0525,3.16972,0.15202,3172.22,10.0042,0.982317,-0.496227,15.0562,0.976271,0.605584,1.21642,0.944796
250022,0.979011,101,-0.283285,0.102172,15188,11.0524,643.522,-0.992454,58.712,1.13854,-3.70948,1.19788,121.451,8.36793,1.40637,0.43216,11958775,-0.0764423,0.301481,-0.84651,0.0485625,4.50662,4497.6,15.3858,-0.985594,2.2916,165.534,2387,6.5932,7.36017,1.22208,8.04224,0.808054,0.548636,124.043,11.8915,8.37674,0.72688,-0.363795,1.19928,-6.74263,2.87205,0.222811,0.06788,36.0746,66.9738,13.7976,0.0220626,-0.391619,17.7751,1.36246,-0.386599,113749,67.2105,0.797247,1229,208.706,1.44208,81.6251,0.451302,1.80E+09,67.3788,1.68193,0.285225,1.05938,0.516626,0.0613626,1.10896,-15.8352,2.55004,91.1017,0.0740234,56.0414,2.57613,1.48489,239.386,0.737777,-1.44453,5.76946,1.13063,2.77595,0.00975636,-0.193163,1.19819,2.59274,4.47459,45,-0.335766,5.78366,2.52109,0.520438,4566.47,42.755,2.09298,-0.746381,10.1581,2.73135,0.455836,0.759881,12.1561
250023,0.249782,0,1.62629,-1.28467,354.219,13.5378,99.0412,-0.470208,1.97404,1.16984,-0.839597,0.197098,158.266,6.52554,2.5272,0.499679,9585384,0.170215,0.699092,-0.830231,0.907403,27.8014,274.312,5.82319,-1.04373,10.8215,171.831,84450,1.50926,7.4108,1.13433,3.94154,0.568294,0.928973,124.413,28.6747,6.98272,-0.0278678,1.30607,0.648766,3.40698,2.61525,0.133976,0.364408,11.95,242.1,10.9237,3.9527,-0.496544,53.3699,1.38012,1.34044,-13081.1,84.3775,0.803814,-99,1652.31,1.59405,97.2169,-0.259616,6.29E+09,16.7272,0.133128,0.264094,1.18866,0.0202549,0.230204,0.915155,-2.5628,1.45391,70.8263,0.0669954,45.1132,2.13658,4.30836,337.167,-0.976706,-2.18276,5.94159,1.14043,1.03095,0.0208683,-0.768327,0.366314,6.77689,0.397878,29,0.0851497,18.6932,7.91271,0.305935,-46.2403,11.6173,1.47135,-0.520991,-0.951299,2.4288,0.650106,2.4284,6.72816
250024,0.591263,162,1.06539,1.09572,1027.27,3.23076,9.76114,-1.08482,118.639,1.52557,0.815809,1.21353,131.688,2.3547,-1.26858,0.298031,18354990,-0.0616685,-1.31808,-0.703871,0.0801168,6.61452,6959.02,9.46024,-0.574089,10.9028,127.508,1608,8.35607,6.99616,1.23586,7.6236,-1.27418,0.92997,158.249,152.216,3.21291,0.74647,1.09137,1.18765,-5.89752,2.23628,0.134529,0.517022,18.386,45.0059,7.05787,6.78401,-0.696262,212.057,2.491,1.35283,-641.321,74.7188,0.671576,1268,1344.61,2.7807,93.9703,-0.125746,4.45E+09,64.2874,4.07566,0.330975,1.12644,0.589918,0.0632204,0.808323,-8.92011,-1.92595,69.0723,-0.118597,71.3292,2.80559,4.916,516.302,-0.707404,-0.718297,4.81467,1.1282,2.31715,0.00678735,-0.171517,1.82795,3.28678,4.46781,39,0.129216,4.11083,20.0785,0.815437,4052.06,17.6315,3.67951,-0.343986,9.80904,4.03299,0.640177,1.43042,6.00601
250025,0.937182,29,-0.117131,-0.989662,8247.98,10.3366,541.278,0.00897474,97.1594,1.11728,4.0596,1.27808,150.193,2.30169,1.01993,1.59826,18460566,-0.0581364,0.830171,0.415758,0.329704,7.87237,14445.7,9.55613,-0.619222,1.64646,155.271,81181,-0.602054,2.2414,1.17395,6.66674,0.0110285,2.01351,130.348,408.708,7.34457,0.618443,1.11005,1.0019,1.28676,2.76339,0.242698,0.639589,12.5601,199.866,5.8981,-0.427042,0.599497,25.5507,2.53482,0.87186,18096.7,111.788,0.31368,1333,-16.7799,1.27153,90.1022,-0.415519,7.42E+09,52.4075,4.40936,0.38873,1.14819,0.553935,0.260892,1.04483,5.40366,1.17389,63.8136,-0.0022611,141.532,2.60974,3.52721,678.194,0.615223,1.96837,5.78663,1.31298,2.24728,0.0083298,-0.361343,-0.167095,2.14088,4.3049,12,0.15221,0.973317,0.390707,0.10007,560.372,66.0368,1.60054,0.82857,-4.86388,-0.182507,0.876903,1.66442,7.49239
